Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
1,2012,NBA,1,1,NOH,Anthony Davis,19.114,F-C,us,University of Kentucky,2013,2018,410,34.8,23.4,10.3,1.9,1.3,2.4,0.517,0.531,0.309,0.795,62.5,0.21
2,2011,NBA,1,30,CHI,Jimmy Butler,21.287,F-G,us,Marquette University,2012,2018,458,32.8,16.4,4.9,3.4,1.5,0.5,0.452,0.485,0.339,0.832,58.2,0.186
3,2012,NBA,1,6,POR,Damian Lillard,21.354,G,us,Weber State University,2013,2018,469,36.4,23.1,4.1,6.2,0.9,0.3,0.432,0.477,0.368,0.884,58.2,0.164
4,2011,NBA,1,15,IND,Kawhi Leonard,19.364,F,us,San Diego State University,2012,2018,407,30.4,16.3,6.2,2.3,1.8,0.7,0.495,0.537,0.386,0.846,56.3,0.219
5,2010,NBA,1,10,IND,Paul George,20.058,F,us,"California State University, Fresno",2011,2018,527,33.4,18.6,6.2,3.2,1.7,0.4,0.432,0.468,0.376,0.844,53.4,0.146
6,2011,NBA,1,1,CLE,Kyrie Irving,19.096,G,au,Duke University,2012,2018,441,33.9,22,3.4,5.5,1.3,0.3,0.462,0.493,0.388,0.875,49.3,0.158
7,2010,NBA,1,7,DET,Greg Monroe,20.025,C-F,us,Georgetown University,2011,2018,589,28.9,13.7,8.6,2.3,1.1,0.6,0.515,0.516,0,0.707,48.6,0.137
8,2012,NBA,1,9,DET,Andre Drummond,18.327,C,us,University of Connecticut,2013,2018,463,30.4,13.6,13.4,1.1,1.3,1.5,0.545,0.547,0.167,0.421,46.4,0.158
9,2011,NBA,2,60,SAC,Isaiah Thomas,22.141,G,us,University of Washington,2012,2018,473,29.8,18.9,2.6,5.1,0.9,0.1,0.439,0.488,0.361,0.877,45.6,0.155
10,2010,NBA,1,1,WAS,John Wall,19.296,G,us,University of Kentucky,2011,2018,541,35.9,18.9,4.4,9.2,1.7,0.7,0.432,0.454,0.327,0.786,43.2,0.107
11,2010,NBA,1,9,UTA,Gordon Hayward,20.098,F-G,us,Butler University,2011,2018,517,31.3,15.6,4.2,3.4,1,0.4,0.444,0.478,0.368,0.82,43,0.128
12,2010,NBA,1,5,SAC,DeMarcus Cousins,19.32,C-F,us,University of Kentucky,2011,2018,535,32.3,21.5,11,3.2,1.4,1.2,0.46,0.474,0.338,0.737,41.6,0.115
13,2010,NBA,1,3,NJN,Derrick Favors,18.349,F-C,us,Georgia Institute of Technology,2011,2018,556,26.1,11.6,7.2,1.1,0.8,1.3,0.517,0.523,0.202,0.663,41.5,0.138
14,2011,NBA,1,11,GSW,Klay Thompson,21.14,G-F,us,Washington State University,2012,2018,537,32.9,19.2,3.4,2.3,0.9,0.5,0.458,0.486,0.422,0.852,41.5,0.113
15,2011,NBA,1,5,TOR,Jonas Valanciunas,19.052,C,lt,,2013,2018,440,25.5,11.7,8.5,0.7,0.4,1,0.558,0.562,0.397,0.785,41.2,0.176
16,2011,NBA,1,9,CHA,Kemba Walker,21.051,G,us,University of Connecticut,2012,2018,523,33.9,18.9,3.7,5.4,1.3,0.4,0.415,0.445,0.358,0.834,41.2,0.111
17,2012,NBA,2,35,GSW,Draymond Green,22.122,F,us,Michigan State University,2013,2018,467,27.7,9.3,6.9,4.6,1.4,1.1,0.438,0.505,0.327,0.707,39,0.145
18,2013,NBA,1,15,MIL,Giannis Antetokounmpo,18.208,F-G,gr,,2014,2018,393,32.7,17.2,7.5,3.8,1.2,1.3,0.506,0.537,0.284,0.746,38.9,0.145
19,2013,NBA,1,27,DEN,Rudy Gobert,21.006,C,fr,,2014,2018,325,28,10,10,1.2,0.6,2.2,0.614,0.615,0,0.629,38.5,0.203
20,2011,NBA,1,4,CLE,Tristan Thompson,20.107,F-C,ca,University of Texas at Austin,2012,2018,519,27.8,9,8.4,0.8,0.5,0.7,0.518,0.519,0,0.608,37.4,0.124
21,2011,NBA,1,22,DEN,Kenneth Faried,21.221,F,us,Morehead State University,2012,2018,441,24.9,11.4,8.2,1,0.8,0.8,0.543,0.546,0.1,0.655,35.9,0.157
22,2010,NBA,1,13,TOR,Ed Davis,21.024,F,us,University of North Carolina,2011,2018,559,20.6,6.6,6.5,0.8,0.5,0.9,0.564,0.565,0,0.579,35.5,0.148
23,2015,NBA,1,1,MIN,Karl-Anthony Towns,19.227,C-F,us,University of Kentucky,2016,2018,246,34.9,21.6,11.7,2.4,0.7,1.4,0.543,0.575,0.387,0.836,34.9,0.196
24,2011,NBA,1,3,UTA,Enes Kanter,19.038,C,ch,,2012,2018,516,21.9,11.7,7.3,0.7,0.4,0.5,0.539,0.545,0.294,0.779,34.1,0.145
25,2011,NBA,1,19,CHA,Tobias Harris,18.347,F,us,University of Tennessee,2012,2018,464,29.6,14.6,5.6,1.7,0.8,0.5,0.467,0.508,0.355,0.812,32.3,0.113
26,2011,NBA,1,16,PHI,Nikola Vucevic,20.247,C,ch,University of Southern California,2012,2018,456,29.8,14.8,9.8,2.2,0.8,0.9,0.499,0.509,0.308,0.729,31.6,0.112
27,2010,NBA,2,33,SAC,Hassan Whiteside,21.016,C,us,Marshall University,2011,2018,271,26.8,13.6,11.4,0.5,0.6,2.4,0.575,0.575,1,0.627,30.5,0.202
28,2013,NBA,1,12,OKC,Steven Adams,19.347,C,nz,University of Pittsburgh,2014,2018,387,25.5,8.8,6.9,0.9,0.8,1,0.586,0.587,0,0.567,29.6,0.144
29,2011,NBA,2,38,HOU,Chandler Parsons,22.246,F,us,University of Florida,2012,2018,410,31,13.1,4.6,2.8,0.9,0.4,0.466,0.524,0.377,0.708,29.1,0.11
30,2012,NBA,1,3,WAS,Bradley Beal,19.005,G,us,University of Florida,2013,2018,406,33.9,18.7,3.7,3.4,1.1,0.3,0.446,0.474,0.393,0.795,28.9,0.101
31,2010,NBA,1,18,OKC,Eric Bledsoe,20.202,G,us,University of Kentucky,2011,2018,492,27.7,13.8,3.8,4.7,1.5,0.5,0.449,0.491,0.337,0.799,28.8,0.102
32,2010,NBA,1,14,HOU,Patrick Patterson,21.107,F,us,University of Kentucky,2011,2018,559,22.7,7.3,4.3,1.1,0.6,0.5,0.455,0.502,0.37,0.757,27.6,0.104
